TwoTheta Intensity
20.7078 5.344
20.7340 5.813
20.7603 5.781
20.7866 5.208
20.8129 5.458
20.8391 5.458
20.8654 5.708
20.8917 6.240
20.9179 5.594
20.9442 5.802
20.9705 5.771
20.9968 5.510
21.0230 5.865
21.0493 5.667
21.0756 5.313
21.1019 5.948
21.1281 5.854
21.1544 5.385
21.1807 5.396
21.2069 5.625
21.2332 5.292
21.2595 5.875
21.2858 5.896
21.3120 5.188
21.3383 5.823
21.3646 5.896
21.3908 5.729
21.4171 5.500
21.4434 5.604
21.4697 6.052
21.4959 5.552
21.5222 6.042
21.5485 6.240
21.5748 5.604
21.6010 5.323
21.6273 5.740
21.6536 5.573
21.6798 5.958
21.7061 6.125
21.7324 5.510
21.7587 5.896
21.7849 6.104
21.8112 5.917
21.8375 5.885
21.8637 5.948
21.8900 5.542
21.9163 5.604
21.9426 5.698
21.9688 5.531
21.9951 5.885
22.0214 5.813
22.0477 5.854
22.0739 5.406
22.1002 6.135
22.1265 5.917
22.1527 5.781
22.1790 5.604
22.2053 5.573
22.2316 5.969
22.2578 5.448
22.2841 5.531
22.3104 5.698
22.3366 5.813
22.3629 5.333
22.3892 5.708
22.4155 5.750
22.4417 5.760
22.4680 6.344
22.4943 6.427
22.5206 5.896
22.5468 5.292
22.5731 5.927
22.5994 5.448
22.6256 5.646
22.6519 5.698
22.6782 5.708
22.7045 5.958
22.7307 5.781
22.7570 5.604
22.7833 6.250
22.8096 5.719
22.8358 5.854
22.8621 5.823
22.8884 4.708
22.9146 6.125
22.9409 5.792
22.9672 5.698
22.9935 5.583
23.0197 5.594
23.0460 5.729
23.0723 6.229
23.0985 5.573
23.1248 6.000
23.1511 6.063
23.1774 5.615
23.2036 5.198
23.2299 5.573
23.2562 5.854
23.2825 5.677
23.3087 5.969
23.3350 5.865
23.3613 5.479
23.3875 5.958
23.4138 6.073
23.4401 5.875
23.4664 5.688
23.4926 5.719
23.5189 5.802
23.5452 5.823
23.5714 5.698
23.5977 5.802
23.6240 5.385
23.6503 6.094
23.6765 6.094
23.7028 5.646
23.7291 5.719
23.7554 5.875
23.7816 6.219
23.8079 5.885
23.8342 6.323
23.8604 5.823
23.8867 6.167
23.9130 5.792
23.9393 5.948
23.9655 5.604
23.9918 6.865
24.0181 5.813
24.0443 6.406
24.0706 6.396
24.0969 5.969
24.1232 5.927
24.1494 5.792
24.1757 5.688
24.2020 6.010
24.2283 6.135
24.2545 6.344
24.2808 6.854
24.3071 5.958
24.3333 6.771
24.3596 6.031
24.3859 6.229
24.4122 5.969
24.4384 6.635
24.4647 6.708
24.4910 7.219
24.5172 7.646
24.5435 8.302
24.5698 9.281
24.5961 9.573
24.6223 11.146
24.6486 11.302
24.6749 11.031
24.7012 11.365
24.7274 10.958
24.7537 9.365
24.7800 8.802
24.8062 7.948
24.8325 7.563
24.8588 6.958
24.8851 6.750
24.9113 6.177
24.9376 6.792
24.9639 6.667
24.9901 6.646
25.0164 6.302
25.0427 6.594
25.0690 5.750
25.0952 5.948
25.1215 6.146
25.1478 5.667
25.1741 5.792
25.2003 6.479
25.2266 6.052
25.2529 5.865
25.2791 5.865
25.3054 5.823
25.3317 6.510
25.3580 5.260
25.3842 5.760
25.4105 5.792
25.4368 5.688
25.4630 6.094
25.4893 6.010
25.5156 6.490
25.5419 5.688
25.5681 6.115
25.5944 6.083
25.6207 6.083
25.6470 5.604
25.6732 5.458
25.6995 5.917
25.7258 5.667
25.7520 5.750
25.7783 5.844
25.8046 5.708
25.8309 6.031
25.8571 6.115
25.8834 5.896
25.9097 5.917
25.9359 6.260
25.9622 6.135
25.9885 5.875
26.0148 6.385
26.0410 6.281
26.0673 6.458
26.0936 5.865
26.1199 5.885
26.1461 6.250
26.1724 5.667
26.1987 5.719
26.2249 6.052
26.2512 5.958
26.2775 5.854
26.3038 6.208
26.3300 6.281
26.3563 6.167
26.3826 6.260
26.4088 6.375
26.4351 5.833
26.4614 6.021
26.4877 6.052
26.5139 6.000
26.5402 5.969
26.5665 5.719
26.5928 6.198
26.6190 6.458
26.6453 6.302
26.6716 6.583
26.6978 5.813
26.7241 6.167
26.7504 5.969
26.7767 6.177
26.8029 5.740
26.8292 5.958
26.8555 6.000
26.8817 5.708
26.9080 6.094
26.9343 6.052
26.9606 5.688
26.9868 5.896
27.0131 5.875
27.0394 6.104
27.0657 6.167
27.0919 5.990
27.1182 5.885
27.1445 6.177
27.1707 6.063
27.1970 5.771
27.2233 6.083
27.2496 6.031
27.2758 5.865
27.3021 5.490
27.3284 6.313
27.3546 6.219
27.3809 5.896
27.4072 6.229
27.4335 6.375
27.4597 6.521
27.4860 6.115
27.5123 6.083
27.5386 6.313
27.5648 5.865
27.5911 6.198
27.6174 6.229
27.6436 6.510
27.6699 6.313
27.6962 6.094
27.7225 5.698
27.7487 5.896
27.7750 6.073
27.8013 5.885
27.8275 6.042
27.8538 6.094
27.8801 6.438
27.9064 6.219
27.9326 6.156
27.9589 6.573
27.9852 6.281
28.0115 5.646
28.0377 6.042
28.0640 6.094
28.0903 6.344
28.1165 6.542
28.1428 6.667
28.1691 6.000
28.1954 6.073
28.2216 6.979
28.2479 6.927
28.2742 6.542
28.3004 6.906
28.3267 6.385
28.3530 7.135
28.3793 7.938
28.4055 7.969
28.4318 8.802
28.4581 8.896
28.4844 10.052
28.5106 10.948
28.5369 11.188
28.5632 11.490
28.5894 11.333
28.6157 10.677
28.6420 10.198
28.6683 9.438
28.6945 9.094
28.7208 7.885
28.7471 8.375
28.7733 7.385
28.7996 7.510
28.8259 7.615
28.8522 7.604
28.8784 7.000
28.9047 7.177
28.9310 6.677
28.9573 7.115
28.9835 7.302
29.0098 6.958
29.0361 7.365
29.0623 7.656
29.0886 8.875
29.1149 9.438
29.1412 10.396
29.1674 11.792
29.1937 13.115
29.2200 14.094
29.2462 13.448
29.2725 13.719
29.2988 12.260
29.3251 10.646
29.3513 9.458
29.3776 8.813
29.4039 8.719
29.4302 8.031
29.4564 6.833
29.4827 7.500
29.5090 7.292
29.5352 6.729
29.5615 7.000
29.5878 6.313
29.6141 6.344
29.6403 5.781
29.6666 5.958
29.6929 6.448
29.7191 6.271
29.7454 6.604
29.7717 6.083
29.7980 6.031
29.8242 5.656
29.8505 6.583
29.8768 6.198
29.9031 6.188
29.9293 6.375
29.9556 5.875
29.9819 5.813
30.0081 6.094
30.0344 5.698
30.0607 6.313
30.0870 6.010
30.1132 6.385
30.1395 6.073
30.1658 6.177
30.1920 6.188
30.2183 6.448
30.2446 5.844
30.2709 6.000
30.2971 5.927
30.3234 5.969
30.3497 6.094
30.3760 5.385
30.4022 6.146
30.4285 6.333
30.4548 6.208
30.4810 5.594
30.5073 6.094
30.5336 5.583
30.5599 5.615
30.5861 5.969
30.6124 6.031
30.6387 6.063
30.6650 5.438
30.6912 6.698
30.7175 6.156
30.7438 6.146
30.7700 6.365
30.7963 5.771
30.8226 6.458
30.8489 6.292
30.8751 5.719
30.9014 5.729
30.9277 5.885
30.9539 6.427
30.9802 6.354
31.0065 6.604
31.0328 5.813
31.0590 5.688
31.0853 5.521
31.1116 5.688
31.1379 6.292
31.1641 5.865
31.1904 5.844
31.2167 6.313
31.2429 6.042
31.2692 5.750
31.2955 6.250
31.3218 5.792
31.3480 6.354
31.3743 5.448
31.4006 5.948
31.4268 6.167
31.4531 5.906
31.4794 5.833
31.5057 5.927
31.5319 5.708
31.5582 6.208
31.5845 5.823
31.6108 5.865
31.6370 6.104
31.6633 5.927
31.6896 5.969
31.7158 5.927
31.7421 6.188
31.7684 6.229
31.7947 6.354
31.8209 6.448
31.8472 6.375
31.8735 6.854
31.8997 6.813
31.9260 7.396
31.9523 7.896
31.9786 7.719
32.0048 8.417
32.0311 8.948
32.0574 9.563
32.0837 10.646
32.1099 10.865
32.1362 12.500
32.1625 11.885
32.1887 12.979
32.2150 13.052
32.2413 12.146
32.2676 10.792
32.2938 10.135
32.3201 9.552
32.3464 8.969
32.3726 8.521
32.3989 7.969
32.4252 8.104
32.4515 7.583
32.4777 7.510
32.5040 7.063
32.5303 7.333
32.5566 8.354
32.5828 8.354
32.6091 8.375
32.6354 8.146
32.6616 7.917
32.6879 7.615
32.7142 7.375
32.7405 7.500
32.7667 6.885
32.7930 7.052
32.8193 6.708
32.8455 6.167
32.8718 6.073
32.8981 6.125
32.9244 6.146
32.9506 6.135
32.9769 5.896
33.0032 6.281
33.0295 6.115
33.0557 5.000
33.0820 5.510
33.1083 5.729
33.1345 5.458
33.1608 5.656
33.1871 5.250
33.2134 5.917
33.2396 5.698
33.2659 5.792
33.2922 5.344
33.3184 5.010
33.3447 5.563
33.3710 5.552
33.3973 5.375
33.4235 5.500
33.4498 5.427
33.4761 5.271
33.5024 6.177
33.5286 5.229
33.5549 5.469
33.5812 5.313
33.6074 5.198
33.6337 5.708
33.6600 5.281
33.6863 5.604
33.7125 5.292
33.7388 5.448
33.7651 4.979
33.7913 5.406
33.8176 5.438
33.8439 5.375
33.8702 5.344
33.8964 5.156
33.9227 5.271
33.9490 5.344
33.9753 5.583
34.0015 5.604
34.0278 5.188
34.0541 5.292
34.0803 5.104
34.1066 5.292
34.1329 5.219
34.1592 5.229
34.1854 5.531
34.2117 5.146
34.2380 5.635
34.2642 5.313
34.2905 5.354
34.3168 5.406
34.3431 5.698
34.3693 5.667
34.3956 5.167
34.4219 5.375
34.4482 4.948
34.4744 5.344
34.5007 5.885
34.5270 5.094
34.5532 5.406
34.5795 5.229
34.6058 5.198
34.6321 5.729
34.6583 5.469
34.6846 5.417
34.7109 5.000
34.7371 5.427
34.7634 4.990
34.7897 5.125
34.8160 5.240
34.8422 5.271
34.8685 4.958
34.8948 5.188
34.9211 5.458
34.9473 5.146
34.9736 5.042
34.9999 4.875
35.0261 4.573
35.0524 5.198
35.0787 4.979
35.1050 5.229
35.1312 4.948
35.1575 5.260
35.1838 5.031
35.2100 5.250
35.2363 4.531
35.2626 5.208
35.2889 4.927
35.3151 4.823
35.3414 4.896
35.3677 5.281
35.3940 4.344
35.4202 5.354
35.4465 5.292
35.4728 5.010
35.4990 5.198
35.5253 4.969
35.5516 4.552
35.5779 4.823
35.6041 5.188
35.6304 4.979
35.6567 5.260
35.6829 5.417
35.7092 4.750
35.7355 4.896
35.7618 4.979
35.7880 5.104
35.8143 4.906
35.8406 5.000
35.8669 5.010
35.8931 4.938
35.9194 4.542
35.9457 4.875
35.9719 4.583
35.9982 5.396
36.0245 5.177
36.0508 4.802
36.0770 4.885
36.1033 5.177
36.1296 4.917
36.1558 4.865
36.1821 4.938
36.2084 4.729
36.2347 4.958
36.2609 4.823
36.2872 5.021
36.3135 5.177
36.3398 4.708
36.3660 4.573
36.3923 4.760
36.4186 5.031
36.4448 4.667
36.4711 4.802
36.4974 4.906
36.5237 5.021
36.5499 5.073
36.5762 5.219
36.6025 4.698
36.6287 5.177
36.6550 4.771
36.6813 5.229
36.7076 5.042
36.7338 5.073
36.7601 5.094
36.7864 4.958
36.8127 4.990
36.8389 4.948
36.8652 4.698
36.8915 4.917
36.9177 5.469
36.9440 5.229
36.9703 5.240
36.9966 5.042
37.0228 4.750
37.0491 5.094
37.0754 5.094
37.1016 5.427
37.1279 4.615
37.1542 4.927
37.1805 5.292
37.2067 4.583
37.2330 5.042
37.2593 4.448
37.2856 5.042
37.3118 4.979
37.3381 4.729
37.3644 4.729
37.3906 4.740
37.4169 4.885
37.4432 4.813
37.4695 4.760
37.4957 4.448
37.5220 4.677
37.5483 5.000
37.5745 4.927
37.6008 4.969
37.6271 4.510
37.6534 4.427
37.6796 4.760
37.7059 5.135
37.7322 4.813
37.7585 5.135
37.7847 4.906
37.8110 4.802
37.8373 5.010
37.8635 4.521
37.8898 4.854
37.9161 4.844
37.9424 5.167
37.9686 4.813
37.9949 5.156
38.0212 4.875
38.0474 5.490
38.0737 5.313
38.1000 4.833
38.1263 4.969
38.1525 5.490
38.1788 5.333
38.2051 4.948
38.2314 5.469
38.2576 5.010
38.2839 5.271
38.3102 5.385
38.3364 5.427
38.3627 5.250
38.3890 5.719
38.4153 5.240
38.4415 5.750
38.4678 5.740
38.4941 6.260
38.5204 6.240
38.5466 6.323
38.5729 7.250
38.5992 6.594
38.6254 6.802
38.6517 7.167
38.6780 6.719
38.7043 6.500
38.7305 6.438
38.7568 6.094
38.7831 6.469
38.8093 5.781
38.8356 5.219
38.8619 5.365
38.8882 5.615
38.9144 5.708
38.9407 5.531
38.9670 4.979
38.9933 5.521
39.0195 4.604
39.0458 5.042
39.0721 4.615
39.0983 4.708
39.1246 4.427
39.1509 4.979
39.1772 4.365
39.2034 5.323
39.2297 4.875
39.2560 4.271
39.2822 4.771
39.3085 4.479
39.3348 4.542
39.3611 4.365
39.3873 4.781
39.4136 4.896
39.4399 4.677
39.4662 4.927
39.4924 5.021
39.5187 4.469
39.5450 4.531
39.5712 4.667
39.5975 4.385
39.6238 4.552
39.6501 4.385
39.6763 4.990
39.7026 4.802
39.7289 4.750
39.7551 5.000
39.7814 5.188
39.8077 4.865
39.8340 4.604
39.8602 4.594
39.8865 4.969
39.9128 4.854
39.9391 4.740
39.9653 4.531
39.9916 5.115
40.0179 4.594
40.0441 4.688
40.0704 4.958
40.0967 4.750
40.1230 4.625
40.1492 4.938
40.1755 4.917
40.2018 4.479
40.2280 4.354
40.2543 4.719
40.2806 5.177
40.3069 4.708
40.3331 4.854
40.3594 5.010
40.3857 4.458
40.4120 4.781
40.4382 4.656
40.4645 4.563
40.4908 4.813
40.5170 4.677
40.5433 4.490
40.5696 5.073
40.5959 4.813
40.6221 4.740
40.6484 4.542
40.6747 4.833
40.7009 4.583
40.7272 4.823
40.7535 4.615
40.7798 5.177
40.8060 5.448
40.8323 5.281
40.8586 5.521
40.8849 5.656
40.9111 5.000
40.9374 5.656
40.9637 6.083
40.9899 5.677
41.0162 5.740
41.0425 5.573
41.0688 5.333
41.0950 6.083
41.1213 5.500
41.1476 5.104
41.1738 5.438
41.2001 5.990
41.2264 5.229
41.2527 5.896
41.2789 5.344
41.3052 5.708
41.3315 5.594
41.3578 5.781
41.3840 5.490
41.4103 5.302
41.4366 5.448
41.4628 5.469
41.4891 5.427
41.5154 5.469
41.5417 5.146
41.5679 5.125
41.5942 5.125
41.6205 5.083
41.6467 4.917
41.6730 5.052
41.6993 4.750
41.7256 5.146
41.7518 4.500
41.7781 4.823
41.8044 4.771
41.8307 4.448
41.8569 4.844
41.8832 4.844
41.9095 4.385
41.9357 4.667
41.9620 4.896
41.9883 4.604
42.0146 4.604
42.0408 4.865
42.0671 4.750
42.0934 4.875
42.1196 4.781
42.1459 4.646
42.1722 4.427
42.1985 4.677
42.2247 4.729
42.2510 4.771
42.2773 5.167
42.3036 4.813
42.3298 5.063
42.3561 4.771
42.3824 4.927
42.4086 4.635
42.4349 4.781
42.4612 4.552
42.4875 4.438
42.5137 4.375
42.5400 5.063
42.5663 4.104
42.5925 4.854
42.6188 4.563
42.6451 4.677
42.6714 4.802
42.6976 4.875
42.7239 4.229
42.7502 4.573
42.7765 4.646
42.8027 4.354
42.8290 4.552
42.8553 4.792
42.8815 4.229
42.9078 4.458
42.9341 4.594
42.9604 4.771
42.9866 4.521
43.0129 4.979
43.0392 4.813
43.0654 4.646
43.0917 4.323
43.1180 4.802
43.1443 4.875
43.1705 5.042
43.1968 4.823
43.2231 4.333
43.2494 4.583
43.2756 4.677
43.3019 4.583
43.3282 4.802
43.3544 4.750
43.3807 5.073
43.4070 5.240
43.4333 5.104
43.4595 5.052
43.4858 4.896
43.5121 4.698
43.5383 4.552
43.5646 4.906
43.5909 4.885
43.6172 4.708
43.6434 4.896
43.6697 4.927
43.6960 4.948
43.7223 5.000
43.7485 4.656
43.7748 4.677
43.8011 4.042
43.8273 4.500
43.8536 4.323
43.8799 4.719
43.9062 4.260
43.9324 4.698
43.9587 5.219
43.9850 4.552
44.0112 4.656
44.0375 4.927
44.0638 4.594
44.0901 4.625
44.1163 4.396
44.1426 4.354
44.1689 4.552
44.1952 4.771
44.2214 4.552
44.2477 4.688
44.2740 4.750
44.3002 4.552
44.3265 4.604
44.3528 4.667
44.3791 4.625
44.4053 4.771
44.4316 4.531
44.4579 4.979
44.4841 4.771
44.5104 4.635
44.5367 4.531
44.5630 4.813
44.5892 4.146
44.6155 4.635
44.6418 4.708
44.6681 4.990
44.6943 4.823
44.7206 4.500
