TwoTheta	Intensity
17.4237	89.8365972
17.45	93.06085
17.4763	88.1155046
17.5026	88.4231352
17.5288	87.644
17.5551	96.377499
17.5814	87.907
17.6076	88.038
17.6339	96.6161381
17.6602	83.709348
17.6865	97.27575
17.7127	87.8195666
17.739	81.297837
17.7653	88.0803574
17.7916	87.4812972
17.8178	83.1556726
17.8441	88.1141658
17.8704	84.8844
17.8966	90.4136232
17.9229	91.8548625
17.9492	90.6793584
17.9755	96.4385575
18.0017	90.5665527
18.028	87.129324
18.0543	92.5282875
18.0805	86.822561
18.1068	84.6855036
18.1331	91.9892163
18.1594	94.3925612
18.1856	98.3113536
18.2119	94.2830063
18.2382	97.0819386
18.2645	95.3224255
18.2907	89.5512672
18.317	95.779593
18.3433	95.9171157
18.3695	87.8245795
18.3958	98.693467
18.4221	95.7580758
18.4484	92.426484
18.4746	96.6036834
18.5009	92.689509
18.5272	89.5419576
18.5534	93.3421554
18.5797	91.5421819
18.606	94.574298
18.6323	93.5527783
18.6585	98.740782
18.6848	84.4739808
18.7111	93.742611
18.7374	90.1831062
18.7636	93.0299288
18.7899	90.8115867
18.8162	101.325237
18.8424	90.0855144
18.8687	97.0983302
18.895	95.854335
18.9213	102.0993348
18.9475	93.75223
18.9738	97.050987
19.0001	95.0005
19.0263	94.941237
19.0526	99.835624
19.0789	98.7714653
19.1052	101.6969796
19.1314	102.2382016
19.1577	103.7772609
19.184	97.512272
19.2103	98.0493712
19.2365	94.181904
19.2628	107.5442124
19.2891	97.8536043
19.3153	91.3420537
19.3416	98.3133528
19.3679	95.6386902
19.3942	98.3867766
19.4204	88.6152852
19.4467	101.900708
19.473	99.390192
19.4992	102.565792
19.5255	95.3820675
19.5518	97.563482
19.5781	95.8543776
19.6043	108.019693
19.6306	88.141394
19.6569	102.5893611
19.6832	88.1610528
19.7094	102.4494612
19.7357	105.2504881
19.762	104.995506
19.7882	96.0519228
19.8145	108.3655005
19.8408	100.8507864
19.8671	105.1366932
19.8933	102.3709218
19.9196	103.1237692
19.9459	108.6652632
19.9721	102.5567335
19.9984	103.7516992
20.0247	103.4676249
20.051	115.09274
20.0772	132.5898288
20.1035	133.808896
20.1298	124.7645004
20.1561	160.2006828
20.1823	183.3158309
20.2086	211.1394528
20.2349	224.6883296
20.2611	233.00265
20.2874	240.0608042
20.3137	212.0344006
20.34	195.9759
20.3662	158.8970924
20.3925	139.1380275
20.4188	120.164638
20.445	132.68805
20.4713	116.2155701
20.4976	119.7879744
20.5239	115.8779394
20.5501	107.0249208
20.5764	108.8903088
20.6027	110.9455395
20.629	99.926876
20.6552	103.276
20.6815	111.1630625
20.7078	104.1809418
20.734	111.23791
20.7603	105.5246049
20.7866	89.6526058
20.8129	96.6967334
20.8391	107.6756297
20.8654	111.0665242
20.8917	109.681425
20.9179	109.818975
20.9442	102.5428032
20.9705	99.40017
20.9968	104.774032
21.023	109.719037
21.0493	111.6033886
21.0756	109.7617248
21.1019	103.5259214
21.1281	99.7035039
21.1544	105.772
21.1807	112.3000714
21.2069	108.2400176
21.2332	114.7866792
21.2595	98.3251875
21.2858	101.10755
21.312	111.227328
21.3383	104.6856998
21.3646	113.9374118
21.3908	103.8309432
21.4171	104.1941915
21.4434	109.897425
21.4697	113.6176524
21.4959	108.5972868
21.5222	103.5863486
21.5485	112.6771065
21.5748	106.2990396
21.601	117.466238
21.6273	112.4187054
21.6536	106.9254768
21.6798	111.325773
21.7061	105.3614094
21.7324	115.6815652
21.7587	111.2957505
21.7849	111.4297635
21.8112	102.4690176
21.8375	105.1038875
21.8637	115.2435627
21.89	115.38219
21.9163	106.1625572
21.9426	116.8004598
21.9688	113.0514448
21.9951	105.8624163
22.0214	118.365025
22.0477	107.0195358
22.0739	112.6651856
22.1002	108.8876854
22.1265	111.0971565
22.1527	105.446852
22.179	109.519902
22.2053	115.4231494
22.2316	111.380316
22.2578	114.5386388
22.2841	111.4205
22.3104	117.5981184
22.3366	113.3135718
22.3629	111.590871
22.3892	106.124808
22.4155	115.1035925
22.4417	112.9041927
22.468	114.676672
22.4943	111.5267394
22.5206	110.7337902
22.5468	116.2513008
22.5731	113.5652661
22.5994	119.5960248
22.6256	115.2548064
22.6519	113.2595
22.6782	111.2592492
22.7045	113.749545
22.7307	123.6095466
22.757	114.01257
22.7833	127.1991639
22.8096	115.7131008
22.8358	112.5119866
22.8621	102.87945
22.8884	120.8736404
22.9146	119.1100908
22.9409	117.8015215
22.9672	118.9011944
22.9935	115.6802985
23.0197	115.328697
23.046	122.443398
23.0723	114.3924634
23.0985	111.6350505
23.1248	110.074048
23.1511	118.1632144
23.1774	113.4765504
23.2036	115.2986884
23.2299	104.766849
23.2562	112.6530328
23.2825	115.20181
23.3087	116.0540173
23.335	120.31526
23.3613	123.3710253
23.3875	123.2755125
23.4138	121.7049324
23.4401	125.4982954
23.4664	109.7523528
23.4926	111.354924
23.5189	116.3715172
23.5452	121.3990512
23.5714	125.9655616
23.5977	122.1652929
23.624	124.26224
23.6503	128.3501781
23.6765	127.0244225
23.7028	114.5556324
23.7291	120.8760354
23.7554	127.447721
23.7816	114.1992432
23.8079	119.277579
23.8342	118.4321398
23.8604	121.5448776
23.8867	126.4084164
23.913	124.299774
23.9393	125.1785997
23.9655	121.3373265
23.9918	124.4694584
24.0181	122.8525815
24.0443	121.9767339
24.0706	128.8739924
24.0969	127.2557289
24.1232	127.1533872
24.1494	124.2728124
24.1757	131.9509706
24.202	122.268504
24.2283	138.0528534
24.2545	130.3679375
24.2808	136.0696032
24.3071	139.765825
24.3333	141.6928059
24.3596	143.6242016
24.3859	163.0928992
24.4122	177.5011062
24.4384	190.1551904
24.4647	187.3017432
24.491	245.424311
24.5172	301.3654224
24.5435	339.780214
24.5698	411.54415
24.5961	514.7225847
24.6223	500.6452259
24.6486	484.2463956
24.6749	408.4189448
24.7012	330.625562
24.7274	285.4036508
24.7537	212.2134701
24.78	189.46788
24.8062	166.3999896
24.8325	163.745505
24.8588	157.7042272
24.8851	152.9438246
24.9113	137.7844003
24.9376	136.6331104
24.9639	143.792064
24.9901	136.9207579
25.0164	138.6408888
25.0427	134.0786158
25.069	136.325222
25.0952	128.6129
25.1215	126.1350515
25.1478	128.882475
25.1741	130.0745747
25.2003	135.1996095
25.2266	136.9047582
25.2529	138.1081101
25.2791	139.03505
25.3054	130.7530018
25.3317	126.911817
25.358	132.87592
25.3842	136.693917
25.4105	135.793712
25.4368	140.4365728
25.463	130.752505
25.4893	132.7482744
25.5156	120.4081164
25.5419	138.6158913
25.5681	135.0251361
25.5944	122.1108824
25.6207	135.3029167
25.647	145.059432
25.6732	137.99345
25.6995	130.913253
25.7258	126.7510166
25.752	133.601376
25.7783	140.4401784
25.8046	136.8159892
25.8309	137.4978807
25.8571	129.2855
25.8834	137.5185042
25.9097	126.0506905
25.9359	141.5581422
25.9622	150.0874782
25.9885	129.682615
26.0148	126.0156912
26.041	139.163104
26.0673	142.2753234
26.0936	146.515564
26.1199	132.7674517
26.1461	142.4439528
26.1724	147.21975
26.1987	130.731513
26.2249	142.6110062
26.2512	135.3511872
26.2775	137.1422725
26.3038	141.382925
26.33	137.12664
26.3563	134.8124745
26.3826	144.840474
26.4088	142.5018848
26.4351	136.8545127
26.4614	139.7426534
26.4877	138.5041833
26.5139	142.7773515
26.5402	145.4137558
26.5665	136.711209
26.5928	134.9052744
26.619	141.692937
26.6453	135.7311582
26.6716	132.5311804
26.6978	154.9006356
26.7241	147.5437561
26.7504	143.7834
26.7767	136.1059661
26.8029	142.6718367
26.8292	140.0215948
26.8555	149.3971465
26.8817	151.7740782
26.908	133.140784
26.9343	139.4388711
26.9606	141.812756
26.9868	143.3808684
27.0131	138.4421375
27.0394	152.367019
27.0657	152.8129422
27.0919	141.6635451
27.1182	140.9604036
27.1445	142.508625
27.1707	148.2976806
27.197	139.656595
27.2233	156.806208
27.2496	150.4450416
27.2758	153.699133
27.3021	159.8264934
27.3284	147.4640464
27.3546	148.7543148
27.3809	149.4449522
27.4072	152.4662536
27.4335	138.8958105
27.4597	139.8797118
27.486	136.000728
27.5123	145.2924563
27.5386	135.9856068
27.5648	149.3185216
27.5911	147.4468384
27.6174	159.6561894
27.6436	143.4149968
27.6699	153.0422169
27.6962	155.791125
27.7225	148.14904
27.7487	154.0607824
27.775	153.04025
27.8013	150.0158148
27.8275	156.8079625
27.8538	143.3356548
27.8801	151.8907848
27.9064	157.5595344
27.9326	157.120875
27.9589	155.2278128
27.9852	150.42045
28.0115	153.1948935
28.0377	174.955248
28.064	157.86
28.0903	157.7270345
28.1165	170.7515045
28.1428	169.7292268
28.1691	165.4934625
28.1954	164.1818142
28.2216	189.3104928
28.2479	177.7357868
28.2742	175.2434916
28.3004	197.2254876
28.3267	208.9094125
28.353	241.595913
28.3793	260.4368361
28.4055	318.368844
28.4318	379.6782572
28.4581	452.3699576
28.4844	522.8026776
28.5106	537.852469
28.5369	545.1689376
28.5632	490.0302592
28.5894	430.6421322
28.6157	331.4556531
28.642	275.077768
28.6683	253.8291282
28.6945	207.1455955
28.7208	189.988092
28.7471	197.9237835
28.7733	183.7175205
28.7996	174.6119748
28.8259	201.493041
28.8522	187.827822
28.8784	187.7096
28.9047	187.591503
28.931	189.555912
28.9573	209.940425
28.9835	202.2758465
29.0098	231.788302
29.0361	267.6838059
29.0623	295.1567188
29.0886	391.7943534
29.1149	473.408274
29.1412	548.5248076
29.1674	650.1996808
29.1937	634.0579703
29.22	582.26694
29.2462	514.2359346
29.2725	393.949305
29.2988	316.4856376
29.3251	253.5448146
29.3513	226.8561977
29.3776	194.332824
29.4039	185.9208597
29.4302	177.1992342
29.4564	177.032964
29.4827	176.8962
29.509	167.522593
29.5352	166.7557392
29.5615	169.3578335
29.5878	160.8984564
29.6141	155.474025
29.6403	179.0866926
29.6666	153.2873222
29.6929	167.3194915
29.7191	171.8061171
29.7454	157.7101108
29.7717	157.8495534
29.798	163.59102
29.8242	171.787392
29.8505	164.476255
29.8768	160.5878
29.9031	164.766081
29.9293	166.4966959
29.9556	166.3134912
29.9819	158.0345949
30.0081	164.1142989
30.0344	155.1877448
30.0607	162.5081442
30.087	164.545803
30.1132	155.5949044
30.1395	165.465855
30.1658	154.599725
30.192	156.002064
30.2183	153.9320202
30.2446	165.0750268
30.2709	170.5765215
30.2971	166.63405
30.3234	154.1338422
30.3497	159.639422
30.376	155.37324
30.4022	178.916947
30.4285	157.863058
30.4548	160.192248
30.481	166.060488
30.5073	168.7358763
30.5336	162.5303528
30.5599	158.8503602
30.5861	156.4479015
30.6124	159.4293792
30.6387	149.6700495
30.665	160.347285
30.6912	155.0519424
30.7175	153.5875
30.7438	146.340488
30.77	181.41992
30.7963	162.3272973
30.8226	161.81865
30.8489	152.9488462
30.8751	160.7975208
30.9014	158.060661
30.9277	158.5044625
30.9539	156.3791028
30.9802	157.4723566
31.0065	150.195486
31.0328	159.353428
31.059	155.60559
31.0853	165.1561989
31.1116	156.5224596
31.1379	155.6895
31.1641	161.9909918
31.1904	167.6484
31.2167	170.7241323
31.2429	167.6181585
31.2692	162.8499936
31.2955	159.419277
31.3218	160.837443
31.348	171.097384
31.3743	153.9223158
31.4006	172.389294
31.4268	164.3307372
31.4531	169.0604125
31.4794	165.9279174
31.5057	162.4433892
31.5319	157.974819
31.5582	165.68055
31.5845	163.860386
31.6108	179.1384036
31.637	178.938872
31.6633	181.0824127
31.6896	171.6625632
31.7158	186.9963568
31.7421	188.8020108
31.7684	200.8715932
31.7947	198.716875
31.8209	205.1811632
31.8472	209.0131736
31.8735	222.1264215
31.8997	240.9065344
31.926	265.400838
31.9523	302.5563287
31.9786	337.4381872
32.0048	416.0624
32.0311	450.7736703
32.0574	578.0269794
32.0837	643.3423524
32.1099	701.4086556
32.1362	733.1231306
32.1625	673.418425
32.1887	623.9779495
32.215	536.927405
32.2413	437.6111649
32.2676	356.2988392
32.2938	300.3969276
32.3201	284.4815202
32.3464	260.8090232
32.3726	243.118226
32.3989	214.3187235
32.4252	256.0293792
32.4515	252.5051215
32.4777	264.5633442
32.504	286.457752
32.5303	289.3895488
